@RELATION feats_train_p1

@ATTRIBUTE f0 NUMERIC
@ATTRIBUTE stance {NONE,OTHER}

@DATA
0,OTHER
0,NONE
0,NONE
1,OTHER
1,NONE
2,OTHER
0,NONE
4,OTHER
4,OTHER
1,OTHER
3,OTHER
0,OTHER
1,OTHER
1,OTHER
2,NONE
0,NONE
1,OTHER
1,OTHER
-1,OTHER
0,OTHER
0,NONE
-1,OTHER
0,OTHER
0,NONE
0,NONE
1,NONE
1,NONE
1,OTHER
1,OTHER
0,OTHER
1,OTHER
0,OTHER
0,NONE
-1,OTHER
-1,NONE
1,OTHER
0,OTHER
0,NONE
0,NONE
2,OTHER
1,NONE
0,OTHER
0,OTHER
0,NONE
3,OTHER
-1,OTHER
0,NONE
-1,OTHER
-1,NONE
3,OTHER
0,OTHER
0,OTHER
1,NONE
0,OTHER
-1,NONE
0,OTHER
0,NONE
0,NONE
-1,NONE
0,NONE
3,OTHER
1,OTHER
0,OTHER
2,NONE
3,OTHER
2,OTHER
-2,OTHER
0,NONE
-2,OTHER
1,OTHER
-1,OTHER
2,NONE
1,OTHER
-2,NONE
0,NONE
0,NONE
-1,NONE
-3,OTHER
-2,OTHER
3,OTHER
1,NONE
1,NONE
0,OTHER
-2,NONE
0,OTHER
-1,NONE
-3,NONE
-1,OTHER
-1,OTHER
-2,OTHER
2,OTHER
2,OTHER
1,OTHER
0,OTHER
2,OTHER
2,OTHER
1,OTHER
0,OTHER
1,NONE
4,OTHER
1,OTHER
0,OTHER
1,OTHER
-3,OTHER
0,OTHER
-2,OTHER
2,OTHER
1,OTHER
-1,OTHER
-2,OTHER
-1,OTHER
0,OTHER
1,OTHER
0,OTHER
1,OTHER
2,OTHER
0,OTHER
2,OTHER
0,OTHER
1,OTHER
0,OTHER
2,OTHER
-2,OTHER
-1,OTHER
2,OTHER
-2,OTHER
0,OTHER
-1,OTHER
-3,OTHER
0,OTHER
-2,OTHER
2,OTHER
2,OTHER
0,OTHER
1,OTHER
0,OTHER
2,OTHER
3,OTHER
1,OTHER
0,OTHER
3,OTHER
1,OTHER
0,OTHER
0,OTHER
-3,OTHER
0,OTHER
0,OTHER
1,OTHER
-1,OTHER
1,OTHER
2,OTHER
1,OTHER
1,OTHER
-1,OTHER
-1,OTHER
-1,OTHER
1,OTHER
0,OTHER
2,OTHER
0,OTHER
0,OTHER
1,OTHER
0,OTHER
1,OTHER
3,OTHER
0,OTHER
1,OTHER
1,OTHER
3,OTHER
0,OTHER
1,OTHER
1,OTHER
-1,OTHER
5,OTHER
3,OTHER
0,OTHER
-2,OTHER
1,OTHER
2,OTHER
0,OTHER
1,OTHER
-1,OTHER
0,OTHER
1,OTHER
-1,OTHER
1,OTHER
3,OTHER
2,OTHER
1,OTHER
2,OTHER
1,OTHER
2,OTHER
1,OTHER
-3,OTHER
0,OTHER
0,OTHER
1,OTHER
1,OTHER
-1,OTHER
1,OTHER
-1,OTHER
0,OTHER
2,OTHER
0,OTHER
0,OTHER
3,OTHER
-1,OTHER
5,OTHER
1,OTHER
1,OTHER
0,OTHER
-1,OTHER
-1,OTHER
0,OTHER
-2,OTHER
-1,OTHER
1,OTHER
3,OTHER
-1,OTHER
-1,OTHER
1,OTHER
0,OTHER
1,OTHER
-2,OTHER
1,OTHER
2,OTHER
2,OTHER
-2,OTHER
0,OTHER
-2,OTHER
0,OTHER
-1,OTHER
-1,OTHER
-2,OTHER
0,OTHER
2,OTHER
0,NONE
1,NONE
1,OTHER
2,OTHER
1,OTHER
1,NONE
2,OTHER
0,OTHER
1,NONE
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
-2,OTHER
2,OTHER
0,OTHER
0,NONE
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
2,OTHER
-1,NONE
-1,OTHER
-2,NONE
0,NONE
-1,NONE
-1,OTHER
0,NONE
3,OTHER
3,OTHER
1,NONE
-1,NONE
0,NONE
1,NONE
-1,OTHER
1,OTHER
2,NONE
2,OTHER
3,NONE
0,OTHER
1,OTHER
1,NONE
0,OTHER
4,OTHER
0,NONE
1,OTHER
0,OTHER
-1,OTHER
0,OTHER
1,OTHER
1,OTHER
-1,OTHER
1,OTHER
-3,OTHER
1,OTHER
-1,OTHER
0,OTHER
0,OTHER
1,OTHER
3,OTHER
1,OTHER
-1,OTHER
1,OTHER
-1,OTHER
-1,OTHER
-1,OTHER
1,OTHER
0,OTHER
-1,OTHER
0,OTHER
1,OTHER
-3,OTHER
1,OTHER
1,OTHER
1,OTHER
0,OTHER
1,OTHER
-3,OTHER
1,OTHER
0,OTHER
-1,OTHER
1,OTHER
0,OTHER
2,OTHER
-1,OTHER
-2,OTHER
1,OTHER
-1,OTHER
1,OTHER
1,OTHER
0,OTHER
-2,OTHER
